date,weight
2024-02-13,76.54
2024-02-26,75.95
2024-02-29,75.06
2024-03-04,75.02
2024-03-15,75.44
2024-04-05,75.36
2024-04-16,76.18
2024-04-18,74.93
2024-04-19,73.91
2024-04-20,74.65
2024-04-21,74.75
2024-04-22,75.41
2024-04-23,74.38
2024-04-24,74.54
2024-04-25,74.89
2024-04-26,74.49
2024-04-27,74.41
2024-04-28,75.01
2024-04-29,74.76
2024-04-30,74.21
2024-05-07,77.29
2024-05-12,75.96
2024-05-13,75.51
2024-05-14,74.72
2024-05-16,73.61
2024-05-17,73.63
2024-05-18,73.42
2024-05-28,74.71
2024-05-30,74.31
2024-05-31,74.3
2024-06-01,73.9
2024-06-02,76.0
2024-06-03,75.5
2024-06-04,75.3
2024-06-07,75.4
2024-06-10,74.7
2024-06-11,74.4
2024-06-12,73.8
2024-06-13,73.7
2024-06-14,73.9
2024-06-16,74.2
2024-06-17,74.4
2024-06-19,73.8
2024-06-23,75.4
2024-06-24,74.5
2024-06-25,74.2
2024-06-26,74.1
2024-07-02,73.6
2024-07-07,75.3
2024-07-08,74.5
2024-07-13,74.8
2024-08-14,76.4
2024-08-24,74.9
2024-09-02,75.7
2024-09-05,75.1
2024-09-06,75.4
2024-09-07,75.4
2024-09-08,75.5
2024-09-10,75.2
2024-09-12,75.0
2024-09-13,74.8
2024-09-14,75.0
2024-09-15,74.9
2024-09-16,74.5
2024-09-18,74.8
2024-09-19,74.7
2024-09-20,74.6
2024-09-23,74.6
2024-09-24,74.2
2024-09-25,74.8
2024-09-26,74.4
2024-09-27,74.6
2024-09-28,75.2
2024-09-29,74.9
2024-09-30,75.1
2024-10-01,74.5
2024-10-02,74.5
2024-10-02,74.7
2024-10-03,74.7
2024-10-09,74.5
2024-10-10,74.5
2024-10-11,74.9
2024-10-17,74.6
2024-10-19,74.0
2024-10-21,74.9
2024-10-22,74.9
2024-10-23,73.7
2024-10-28,76.0
2024-10-29,74.5
2024-10-30,74.3
2024-10-31,74.1
2024-11-01,73.1
2024-11-02,74.1
2024-11-03,74.7
2024-11-04,74.4
2024-11-05,73.9
2024-11-06,73.6
2024-11-07,73.3
2024-11-08,73.2
2024-11-09,73.8
2024-11-10,73.7
2024-11-11,73.0
2024-11-12,72.3
2024-11-13,72.7
2024-11-14,73.1
2024-11-19,75.3
2024-11-20,73.6
2024-11-21,72.6
2024-11-22,71.8
2024-11-23,72.5
2024-11-24,73.3
2024-11-25,73.2
2024-11-26,73.0
2024-11-27,72.5
2024-11-28,72.0
2024-11-29,72.3
2024-11-30,72.3
2024-12-01,73.8
2024-12-02,73.4
2024-12-03,72.7
2024-12-04,72.4
2024-12-05,72.2
2024-12-05,72.2
2024-12-06,72.2
2024-12-07,72.4
2024-12-08,72.4
2024-12-10,72.5
2024-12-11,72.4
2024-12-12,71.9
2024-12-13,71.5
2024-12-14,72.0
2024-12-17,72.2
2024-12-18,72.0
2025-01-21,72.3
2025-01-21,72.3
2025-01-23,71.4
2025-01-24,70.9
2025-01-26,72.6
2025-01-27,72.4
2025-01-28,71,7
2025-01-29,72.4
2025-01-30,72.3
2025-01-31,72.7
2025-02-03,72.8
2025-02-04,71.7
2025-02-05,72.0
2025-02-08,71.8
2025-02-09,72.1
2025-02-11,71.5
2025-02-14,71.5
2025-02-16,72.6
2025-02-19,72.6
2025-02-20,71.5
2025-02-21,71.2
2025-02-22,71.7
2025-02-24,71.7
2025-02-25,71.7
2025-02-26,72.4
2025-02-27,72.3
2025-03-05,72.6
2025-03-10,71.6
2025-03-12,71.1
2025-03-13,70.6
2025-03-14,70.8
2025-03-18,71.3
2025-03-19,71.2
2025-03-20,70.8
2025-03-21,70.5
2025-03-22,70.5
2025-03-23,70.8
2025-03-24,71.6
2025-03-25,71.5
2025-03-26,70.7
2025-03-27,70.3
2025-03-28,70.0
2025-03-29,70.8
2025-03-30,71.3
2025-03-31,71.4
2025-04-01,70.5
