date,weight
2026-04-13,86.0
2026-04-14,84.8
2026-04-15,84.9
2026-04-16,85.9
2026-04-25,85.6
2026-04-26,86.1
2026-04-27,86.3
2026-04-28,85.2
2026-04-29,84.6
2026-04-30,85.0
2026-05-01,84.8
2026-05-02,84.9
2026-05-03,84.9
2026-05-04,84.8
2026-05-05,84.5
2026-05-06,84.7
2026-05-07,84.4
2026-05-08,83.8
2026-05-09,83.2
2026-05-10,83.5
2026-05-11,84.1
2026-05-12,83.9
2026-05-19,86.4
2026-05-20,84.9
2026-05-21,84.2
2026-05-22,83.4
2026-05-23,83.7
2026-05-24,84.6
2026-05-25,84.4
2026-05-26,84.1
2026-05-27,83.2
2026-05-28,83.5
2026-05-29,83.3
2026-05-30,83.0
2026-06-01,84.1
2026-06-02,84.0
2026-06-03,83.3
2026-06-04,83.1
2026-06-05,82.1
2026-06-06,81.6
2026-06-07,82.8
2026-06-08,83.4
2026-06-09,83.1
2026-06-10,82.5
